order_id,order_date,customer_id,seller_id,order_status
5893,27-11-2023,50,5,Inprogress
4071,29-08-2023,50,5,Inprogress
3721,02-08-2023,50,2,Inprogress
4631,01-01-2022,50,5,Inprogress
2069,21-11-2021,50,5,Inprogress
4951,07-10-2021,50,1,Inprogress
3007,03-06-2020,50,1,Inprogress
10316,03-08-2022,51,10,Inprogress
3547,07-01-2022,51,2,Inprogress
13035,21-07-2023,52,4,Inprogress
12244,15-10-2022,52,14,Inprogress
17308,24-07-2022,52,34,Inprogress
12502,07-11-2020,52,16,Inprogress
15267,12-04-2020,52,47,Inprogress
6691,20-11-2022,53,1,Inprogress
16424,20-04-2021,53,27,Inprogress
14355,31-03-2023,54,1,Inprogress
18965,19-01-2021,54,28,Inprogress
7018,15-03-2023,55,2,Inprogress
6467,22-02-2023,55,3,Inprogress
17376,24-07-2022,55,35,Inprogress
10890,14-07-2022,55,12,Inprogress
3001,20-02-2021,55,3,Inprogress
7308,02-11-2020,55,1,Inprogress
159,09-10-2020,55,2,Inprogress
19053,08-02-2024,56,23,Inprogress
949,25-12-2023,56,5,Inprogress
12958,15-05-2023,56,3,Inprogress
15265,23-11-2022,56,38,Inprogress
1073,29-06-2022,57,2,Inprogress
12722,01-01-2021,57,20,Inprogress
15659,08-03-2020,57,25,Inprogress
3125,11-05-2023,58,5,Inprogress
10436,05-04-2023,58,7,Inprogress
17496,11-06-2021,58,31,Inprogress
8838,05-11-2023,59,2,Inprogress
15195,02-11-2021,59,1,Inprogress
7324,18-09-2021,59,2,Inprogress
17122,09-06-2021,59,34,Inprogress
8922,09-10-2020,59,3,Inprogress
15918,22-05-2020,59,29,Inprogress
4313,11-12-2021,60,1,Inprogress
17697,23-01-2021,60,28,Inprogress
983,28-09-2020,60,2,Inprogress
3193,12-05-2020,60,1,Inprogress
8698,21-01-2024,61,4,Inprogress
15669,31-01-2022,61,25,Inprogress
18653,20-03-2021,61,27,Inprogress
12676,08-09-2020,61,5,Inprogress
12656,04-02-2020,61,9,Inprogress
14635,27-12-2023,62,12,Inprogress
1231,12-09-2023,62,5,Inprogress
1193,20-11-2022,62,5,Inprogress
3207,25-12-2021,62,2,Inprogress
2395,06-06-2022,63,4,Inprogress
16724,10-03-2020,63,33,Inprogress
2251,29-02-2020,63,4,Inprogress
12176,13-06-2023,64,16,Inprogress
1671,14-04-2021,64,1,Inprogress
9048,21-10-2023,65,1,Inprogress
5123,14-07-2022,65,4,Inprogress
16160,13-07-2022,65,27,Inprogress
